"id","category","question","answer1","answer2","response1","response2","responses","stat","source","url","created","updated"
"017b3v0ijc","socialandpolitical","Do you think we need to be taxed?","Yes","No",0,0,0,"","","","2016-07-14T01:38:09.800Z","2016-07-14T01:38:09.800Z"
"03cfr1ax85","environmental","Do you think India has safe drinking water?","Yes","No",0,1,1,"An estimated 1,000 children in India die every day due to disease caused by polluted water.","The Economist","http://facts.randomhistory.com/pollution-facts.html","2016-07-14T01:37:41.232Z","2016-07-14T01:37:41.232Z"
"03h1l52mvc","recreational","Do you use tabacco products when you drink?","Yes","No",0,0,0,"","","","2016-07-14T00:46:41.429Z","2016-07-14T00:46:41.429Z"
"03k684hxw1","socialandpolitical","Is asking for money a stressfull act?","Yes","No",0,0,0,"","","","2016-07-14T01:38:08.057Z","2016-07-14T01:38:08.057Z"
"03su8xy1ps","recreational","Do you think more people run marathons or obstacle events?","Yes","No",0,0,0,"","","","2016-07-14T01:38:03.075Z","2016-07-14T01:38:03.075Z"
"044hpcsip2","financial","Do you typically have enough money on hand to cover one mortgage/rent payment or to purchase one month of groceries?","Yes","No",0,0,0,"According to Healthways.com, 64% of Americans don't have enough cash on hand to cover one mortgage payment or to purchase one month of groceries for their families.","Healthways.com","","2016-07-14T01:37:52.014Z","2016-07-14T01:37:52.014Z"
"05b6kulucq","financial","Do women make more money than men?","Yes","No",0,1,1,"","","","2016-07-14T00:46:28.079Z","2016-07-14T00:46:28.079Z"
"08e532xugr","socialandpolitical","Do you watch CNBC?","Yes","No",0,0,0,"","","","2016-07-14T00:46:48.855Z","2016-07-14T00:46:48.855Z"
"09lcq1d2ik","ethical","Is it unfair to move into better (open) seats at a sporting event or a concert?","Yes","No",0,0,0,"According to CNN/RealSimple.com, there's no harm in seeing if you can move into a better viewing position. But before you do, make sure there's no posted policy against it. And if an usher asks to see your tickets, be prepared to move back to your original seats without argument.","RealSimple.com","http://edition.cnn.com/2010/LIVING/wayoflife/03/10/rs.10.ethical.questions/","2016-07-14T01:37:48.269Z","2016-07-14T01:37:48.269Z"
"09timdj05y","environmental","Do you litter?","Yes","No",0,0,0,"","","","2016-07-14T00:46:16.914Z","2016-07-14T00:46:16.914Z"
"09ysqmqgrl","healthandsafety","Do you think that traffic accidents are more or less likely on Friday the 13th?","Yes","No",0,0,0,"In 1993, a group of medical researchers in Britain found that traffic accidents were 52 percent more likely to result in hospital-worthy injuries if they occurred on Friday the 13th than if they occurred on Friday the 6th.","","","2016-07-14T01:37:58.438Z","2016-07-14T01:37:58.438Z"
"0a9lugd4gw","socialandpolitical","Who do you think is better at remembering faces, men or women?","Men","Women",0,0,0,"","","","2016-07-14T01:38:07.869Z","2016-07-14T01:38:07.869Z"
"0aexlidvae","healthandsafety","Do you think extremely cold air is more dangersous than extremely cold water?","Yes","No",0,0,0,"Cold water syphons body heat 25 times faster than air of the same temperature. For every 2 degrees F drop in body temperature, you lose 5% of your maximal strength.","","","2016-07-14T01:38:01.912Z","2016-07-14T01:38:01.912Z"
"0b08itg3hi","environmental","Do you think the U.S. is the world's largest producer of nuclear power?","Yes","No",0,0,0,"The United States produces more nuclear-generated electricity than any other country, nearly 1/3 of the worldäó»s total. The second largest producer is France, which generates more than 3/4 of its electricity in nuclear reactors.","Morris, Neil. 2010. Nuclear Power","http://facts.randomhistory.com/energy-facts.html","2016-07-14T01:37:42.475Z","2016-07-14T01:37:42.475Z"
"0cr3q03ore","healthandsafety","Do you worry about dying from unintentional poisoning by and exposure to noxious substances?","Yes","No",0,0,0,"According to the National Safety Council, the odds of a person in the U.S. dying from unintentional poisoning by and exposure to noxious substances are about 1 in 119.","","","2016-07-14T00:46:32.543Z","2016-07-14T00:46:32.543Z"
"0dvvoy64eg","environmental","Do you think men are more likely to litter than women?","Yes","No",0,0,0,"People who litter are more likely to be the following: men between 18-34 years old, smokers, people who eat at fast food places at least two times per week, and drive more than 50 miles a day.","Keep America Beautiful","http://facts.randomhistory.com/pollution-facts.html","2016-07-14T01:37:41.617Z","2016-07-14T01:37:41.617Z"
"0e6f8y0yui","ethical","Is killing someone who killed a loved one justified?","Yes","No",0,0,0,"","","","2016-07-14T01:37:49.619Z","2016-07-14T01:37:49.619Z"
"0g6y42hgvg","financial","Do baggage fees impact the way you travel?","Yes","No",0,0,0,"Domestic Airlines cashed in about $2.5 Billion last year on baggage fees alone.","","","2016-07-14T01:37:52.331Z","2016-07-14T01:37:52.331Z"
"0g76aqo4o4","environmental","Do you think pollution in China affects weather in the U.S.?","Yes","No",0,0,0,"Pollution in China alters the weather in the United States. It takes just five days for the jet stream to carry heavy air pollution from China to the U.S. Once in the atmosphere, the pollution stops clouds from producing rain and snowäóîi.e., more pollution equals less precipitation.","CBS News","http://facts.randomhistory.com/pollution-facts.html","2016-07-14T01:37:42.257Z","2016-07-14T01:37:42.257Z"
"0kdeoxvllr","ethical","Should we have guaranteed universal income?","Yes","No",0,0,0,"Should there be a policy that ensures everyone gets a steady paycheck to make sure basic needs are met to offest the very high likelihood that within a few decades, as robots replace manual workers, and as thought workers start to get replaced by artificial intelligence, unemployment rates could reach staggering levels","io9. Gizmodo","http://io9.gizmodo.com/these-unresolved-ethical-questions-are-about-to-get-rea-512883836","2016-07-14T00:46:22.151Z","2016-07-14T00:46:22.151Z"
"0kq8qd32j8","healthandsafety","How you gotten a tetanus shot in the last 10 years?","Yes","No",0,0,0,"According to the CDC, 36% of people age 19-49 have gone 10 years or longer since their last tetanus shot.","","","2016-07-14T00:46:35.360Z","2016-07-14T00:46:35.360Z"
"0mss0j20k1","socialandpolitical","Do you think it would be better off if no one voted?","Yes","No",0,0,0,"","","","2016-07-14T01:38:10.469Z","2016-07-14T01:38:10.469Z"
"0nfi85x93n","socialandpolitical","Do you think that the number of children living in poverty in the U.S. is higher or lower than 20%?","higher","lower",0,0,0,"According to the U.S. Census Bureau, in 2012, 21.8% of all children lived in poverty. That's over 1 in every 5 children.","","","2016-07-14T01:38:07.375Z","2016-07-14T01:38:07.375Z"
"0nu42cpo5f","healthandsafety","Do you think that obese females are more or less likely to have higher incomes?","Yes","No",0,0,0,"Higher income women are less likely to be obese than low-income women (CDC.gov)","","","2016-07-14T01:37:59.071Z","2016-07-14T01:37:59.071Z"
"0odls8mf6l","socialandpolitical","Do you believe gun violence has gone up or down since 1990?","Up","Down",0,0,0,"","","","2016-07-14T00:46:44.522Z","2016-07-14T00:46:44.522Z"
"0oj16cudim","socialandpolitical","Do you think Donald Trump is more qualified than Sanders?","Yes","No",0,0,0,"","","","2016-07-14T01:38:10.832Z","2016-07-14T01:38:10.832Z"
"0olcsrsc90","environmental","Do you hunt bear?","Yes","No",0,0,0,"","","","2016-07-14T00:46:18.041Z","2016-07-14T00:46:18.041Z"
"0ox6ds5d4d","environmental","Do you think the USA should spend more money on saving the environment?","Yes","No",1,0,1,"","","","2016-07-14T00:46:17.173Z","2016-07-14T00:46:17.173Z"
"0qie7f1mvf","ethical","Would you stay with your significant other if you found out they cheated on you?","Yes","No",0,0,0,"According to the Journal of Marital and Family Therapy, only 31% of marriages last after an affair has been admitted to or discovered","American Association for Marriage and Family Therapy","http://www.statisticbrain.com/infidelity-statistics/","2016-07-14T00:46:19.931Z","2016-07-14T00:46:19.931Z"
"0r2spo9y75","financial","Do you think you should make a down payment of 20% to purchase a home?","Yes","No",0,0,0,"RealtyTrac estimates that about 30% of all homebuyers put down 3% or less on the cost of the home.","NerdWallet","https://www.nerdwallet.com/blog/mortgages/millennials-and-homebuying/?trk=nw_hp4_bv_indexpgtitle","2016-07-14T00:46:26.906Z","2016-07-14T00:46:26.906Z"
"0rjp8lttq9","ethical","Have you ever been pressured by an employer or coworker to do something that you believed comprimsed your ethical standardsk?","Yes","No",0,0,0,"In a recent survey on global business ethics conducted by the American Institute of Certified Public Accountants (AICPA) and the Chartered Institute of Management Accountants (CIMA), 35% of respondents said they feel under pressure to compromise their organization's standards of ethical conduct.","Ethics Resource Center (ERC)","http://www.accountingweb.com/aa/law-and-enforcement/new-survey-of-workplace-ethics-shows-surprising-results","2016-07-14T00:46:21.918Z","2016-07-14T00:46:21.918Z"
"0rl14kjhwh","financial","Do you think most Americans have a good credit score?","Yes","No",0,0,0,"A good credit score is above 700. 58 percent of Americans have credit scores above 700.","Economy Watch","http://www.economywatch.com/personal-finance/a-dozen-shocking-personal-finance-statistics.23-04.html","2016-07-14T01:37:53.350Z","2016-07-14T01:37:53.350Z"
"0s9fd2e2ex","healthandsafety","Do you think that marijuana should be legal?","Yes","No",0,0,0,"A 2013 Gallup survey found that 58% of Americans think that pot should be legal, up from 31% in the year 2000.","","","2016-07-14T01:38:01.166Z","2016-07-14T01:38:01.166Z"
"0st5xeqb82","recreational","Do you cross country ski?","Yes","No",0,0,0,"","","","2016-07-14T00:46:43.456Z","2016-07-14T00:46:43.456Z"
"0tfdp8cw86","environmental","Do you worry about the amount of plastic waste in the world?","Yes","No",0,0,0,"The amount of plastic waste has been increasing about 10% each year for the past 20 years.","Jakab, Cheryl. 2007. Global Issues: Clean Air and Water.","http://facts.randomhistory.com/pollution-facts.html","2016-07-14T00:46:14.562Z","2016-07-14T00:46:14.562Z"
"0tivckmsx7","healthandsafety","Do you think men or women are at greater risk of being victims of violent crime?","Men","Women",0,0,0,"","","","2016-07-14T01:37:57.771Z","2016-07-14T01:37:57.771Z"
"0wgip21vda","recreational","Do you think marijuana is safer than alcohol?","safer","less safe",0,0,0,"","","","2016-07-14T01:38:03.659Z","2016-07-14T01:38:03.659Z"
